Entity,Code,GPI Ranking,Year,Depression (%),Alcohol use disorders (%),Drug use disorders (%)
Afghanistan,AFG,162,2017,4.1363471,0.661217394,2.473933869
Albania,ALB,57,2017,2.208414198,1.83795474,0.51761396
Algeria,DZA,109,2017,3.661094496,0.665190886,1.717218255
Angola,AGO,100,2017,4.160484197,1.378244117,0.519555779
Argentina,ARG,55,2017,3.665488272,1.824514659,1.00890084
Armenia,ARM,112,2017,2.754582696,1.96498794,0.504359712
Australia,AUS,12,2017,4.623880986,1.511935142,2.315142073
Austria,AUT,4,2017,3.260969994,1.824065094,0.902116974
Azerbaijan,AZE,132,2017,2.592292962,2.305889053,0.486327895
Bahrain,BHR,131,2017,3.879105153,0.723557569,1.695673821
Bangladesh,BGD,84,2017,4.11061131,1.46219797,0.512800136
Belarus,BLR,103,2017,4.022226083,5.342888132,0.779867569
Belgium,BEL,19,2017,4.109186155,1.46563857,0.823451382
Benin,BEN,79,2017,3.629898989,0.988583683,0.505540967
Bhutan,BTN,13,2017,3.439333738,2.374372881,0.534974458
Bolivia,BOL,86,2017,3.085904793,1.601922707,0.886176711
Bosnia and Herzegovina,BIH,84,2017,2.319609956,2.828633321,0.433415503
Botswana,BWA,27,2017,3.968129457,1.61433919,0.752750451
Brazil,BRA,108,2017,3.29736759,2.683580505,1.061681334
Bulgaria,BGR,28,2017,2.543140691,1.820826143,0.704289177
Burkina Faso,BFA,91,2017,3.694253592,1.001796072,0.444063303
Burundi,BDI,141,2017,3.721227706,1.569309325,0.500084321
Cambodia,KHM,89,2017,3.094945297,0.844038411,0.570337425
Cameroon,CMR,130,2017,3.745646542,1.024226612,0.588020694
Canada,CAN,8,2017,3.988792073,1.617937042,2.276228814
Central African Republic,CAF,155,2017,4.211728229,1.407711999,0.516703025
Chad,TCD,135,2017,3.874837439,0.943401227,0.457399959
Chile,CHL,24,2017,4.057723142,2.449470218,1.257150396
China,CHN,116,2017,3.311305897,1.220902816,1.113943153
Colombia,COL,146,2017,2.196154116,1.758512404,1.075525939
Congo,COG,124,2017,4.008290792,1.448790478,0.56030569
Cote d'Ivoire,CIV,121,2017,3.337988904,1.009973842,0.503956745
Croatia,HRV,31,2017,2.779841732,2.080532342,0.713971201
Cuba,CUB,88,2017,3.319130914,1.734783347,0.777999682
Cyprus,CYP,64,2017,3.32811079,1.110354263,0.58020757
Czech Republic,CZE,6,2017,2.675387466,2.097172456,0.978265047
Democratic Republic of Congo,COD,153,2017,3.956871764,1.341112729,0.517093641
Denmark,DNK,5,2017,3.291885325,1.730723133,0.895411338
Djibouti,DJI,107,2017,3.609010129,1.592237073,0.526750457
Dominican Republic,DOM,99,2017,2.978522526,1.576405452,0.680032681
Ecuador,ECU,66,2017,2.977117258,1.706748127,0.668945807
Egypt,EGY,139,2017,3.238181852,0.664616144,1.474476438
El Salvador,SLV,115,2017,3.025887217,2.655430237,0.61885954
Equatorial Guinea,GNQ,61,2017,4.167089986,1.480768642,0.563293149
Eritrea,ERI,136,2017,3.867376703,1.732617354,0.52482066
Estonia,EST,36,2017,3.848854211,4.713617097,1.126664903
Ethiopia,ETH,134,2017,3.816265969,1.863893416,0.498949273
Finland,FIN,17,2017,4.792735606,2.605060902,0.951914365
France,FRA,51,2017,4.253807263,1.418957891,1.179268316
Gabon,GAB,87,2017,4.049029034,1.466265428,0.571613557
Gambia,GMB,110,2017,4.158517458,0.943237948,0.501446643
Georgia,GEO,94,2017,2.797378663,2.08307329,0.494333416
Germany,DEU,16,2017,3.959866092,1.806474683,0.88382705
Ghana,GHA,43,2017,3.396646689,1.008256614,0.62591486
Greece,GRC,73,2017,4.185863699,1.124256965,0.552601555
Guatemala,GTM,117,2017,3.216025169,2.642026432,0.678176248
Guinea,GIN,96,2017,3.560932911,0.946132979,0.456326291
Guinea-Bissau,GNB,122,2017,3.665430394,0.979754058,0.482693171
Guyana,GUY,81,2017,4.141723621,2.064557448,0.732391495
Haiti,HTI,83,2017,2.957782093,1.649576749,0.643969528
Honduras,HND,106,2017,2.752301125,1.768606637,0.705705457
Hungary,HUN,15,2017,2.765242179,2.107393596,0.699141711
Iceland,ISL,1,2017,3.361665212,1.249028592,0.725035907
India,IND,137,2017,3.529852597,1.126606726,0.527410723
Indonesia,IDN,52,2017,2.642735675,0.650505679,0.588078674
Iran,IRN,129,2017,5.116344629,0.579777575,1.971660287
Iraq,IRQ,161,2017,3.891162887,0.651613981,1.569569256
Ireland,IRL,10,2017,4.250920997,2.109847905,1.053862484
Israel,ISR,144,2017,3.832220709,0.498381095,0.718220106
Italy,ITA,38,2017,3.464256117,0.462936855,1.148015082
Jamaica,JAM,92,2017,2.592384553,1.427645925,0.947370998
Japan,JPN,10,2017,3.341564631,0.582879511,0.918162656
Jordan,JOR,95,2017,3.563602291,0.657091729,1.620545053
Kazakhstan,KAZ,72,2017,3.511774879,3.369005858,0.605454872
Kenya,KEN,125,2017,3.508418597,1.247794258,0.486993955
Kuwait,KWT,58,2017,3.635678621,0.677424512,1.59454276
Kyrgyzstan,KGZ,111,2017,3.053673028,2.733093398,0.511649635
Laos,LAO,45,2017,2.912431366,0.918019231,0.659138941
Latvia,LVA,32,2017,3.499570662,4.408781236,1.041688135
Lebanon,LBN,148,2017,3.676734231,0.659928942,2.227297156
Lesotho,LSO,90,2017,5.636660704,1.654872374,0.768874765
Liberia,LBR,82,2017,3.803038191,0.950462397,0.5152675
Libya,LBY,157,2017,3.804791052,0.680013754,2.607753197
Lithuania,LTU,37,2017,4.143254421,4.428001023,0.631073204
Madagascar,MDG,44,2017,3.708514219,1.508369284,0.496778907
Malawi,MWI,48,2017,3.446137021,1.604984325,0.509184014
Malaysia,MYS,29,2017,3.520853917,0.64496931,0.673643628
Mali,MLI,140,2017,3.007420019,0.904050384,0.44588808
Mauritania,MRT,128,2017,3.094160682,0.92897714,0.506015334
Mauritius,MUS,22,2017,3.478524341,1.303687888,0.71079035
Mexico,MEX,142,2017,2.78880657,1.729604254,0.820863258
Moldova,MDA,62,2017,3.432549279,4.074256301,0.661415922
Mongolia,MNG,46,2017,3.525487517,3.478107604,0.530314852
Montenegro,MNE,67,2017,2.558640176,1.848101945,0.602649704
Morocco,MAR,75,2017,5.413573185,0.574866182,1.636353275
Mozambique,MOZ,78,2017,3.901795226,1.708855541,0.528698797
Myanmar,MMR,104,2017,2.300981571,0.870378187,0.576854931
Namibia,NAM,50,2017,3.459970367,1.668761608,0.775731492
Nepal,NPL,93,2017,3.606938526,1.527133069,0.501677946
Netherlands,NLD,19,2017,4.026854403,0.776602485,0.988877229
New Zealand,NZL,2,2017,3.971265369,2.193405454,2.049319077
Nicaragua,NIC,74,2017,2.854083914,2.047304594,0.599888594
Niger,NER,126,2017,3.463055286,0.911306392,0.462455372
Nigeria,NGA,149,2017,3.917691287,0.964766678,0.461802324
Norway,NOR,14,2017,3.77191037,1.419002531,0.832286146
Oman,OMN,70,2017,3.433950596,0.691762726,1.734114025
Pakistan,PAK,152,2017,3.331279643,1.532772747,0.656776334
Panama,PAN,49,2017,2.679025335,1.409488824,0.727573217
Papua New Guinea,PNG,97,2017,3.168660777,1.212565986,0.738106301
Paraguay,PRY,68,2017,2.958839674,2.384385156,0.527617741
Peru,PER,71,2017,2.276321002,1.429938984,0.57855597
Philippines,PHL,138,2017,2.765176009,0.894194852,0.648897668
Poland,POL,33,2017,2.250471893,2.044346289,0.790931836
Portugal,PRT,3,2017,4.421460547,1.262904529,0.709413012
Qatar,QAT,30,2017,3.482327199,0.731734267,2.024984391
Romania,ROU,25,2017,2.359173586,1.690182797,0.458055547
Russia,RUS,151,2017,3.707924954,4.72718224,0.905038024
Rwanda,RWA,113,2017,3.869449628,2.342693906,0.570294213
Saudi Arabia,SAU,133,2017,3.536846728,0.679910541,1.710317999
Senegal,SEN,60,2017,3.370497208,0.921068704,0.478694844
Serbia,SRB,56,2017,2.570068162,2.018132676,0.441905437
Sierra Leone,SLE,39,2017,3.581501348,0.936624414,0.496263044
Singapore,SGP,21,2017,3.438271073,0.491369093,0.914669467
Slovakia,SVK,26,2017,2.401998547,2.500481834,0.678350415
Slovenia,SVN,7,2017,2.863277664,2.246826943,0.906051721
Somalia,SOM,158,2017,3.784748218,1.538570576,0.497894413
South Africa,ZAF,123,2017,3.745870851,1.550514149,0.921499023
South Korea,KOR,47,2017,3.165683958,2.020050127,0.91431869
South Sudan,SSD,160,2017,3.699147429,1.548224958,0.502397863
Spain,ESP,23,2017,3.538359291,0.885003363,1.468867753
Sri Lanka,LKA,80,2017,3.443329816,0.95045256,0.665203405
Sudan,SDN,155,2017,3.781450646,0.645813295,1.408446273
Swaziland,SWZ,77,2017,4.067654361,1.704300959,0.781634852
Sweden,SWE,18,2017,4.487910994,1.586587835,0.729285356
Switzerland,CHE,9,2017,3.708059737,1.379690302,1.006218115
Syria,SYR,163,2017,3.582072799,0.621551394,1.510988522
Tajikistan,TJK,118,2017,2.563960734,2.175246762,0.470767237
Tanzania,TZA,54,2017,3.68574814,1.550497138,0.518625021
Thailand,THA,120,2017,3.085057004,0.91277529,0.846267711
Timor,TLS,53,2017,3.139086587,0.823884868,0.632557471
Togo,TGO,63,2017,3.656724668,0.965300083,0.488984387
Trinidad and Tobago,TTO,97,2017,3.329938107,1.71814092,0.731198525
Tunisia,TUN,69,2017,3.915188518,0.651949617,1.703850216
Turkey,TUR,146,2017,3.718657828,0.778078613,1.535723369
Uganda,UGA,105,2017,4.918028157,1.295985777,0.542831835
Ukraine,UKR,154,2017,4.071915393,4.686883314,0.711814136
United Arab Emirates,ARE,65,2017,2.877426127,0.755908323,2.915549141
United Kingdom,GBR,41,2017,4.119523991,1.897051612,1.664000096
United States,USA,114,2017,4.835610409,2.040086893,3.45247568
Uruguay,URY,35,2017,3.617573732,1.193834927,0.918533109
Uzbekistan,UZB,101,2017,2.886923629,1.888152517,0.481219598
Venezuela,VEN,143,2017,2.814583858,1.370215832,0.645769753
Vietnam,VNM,59,2017,2.879450065,1.739465895,0.693534364
Yemen,YEM,159,2017,4.012346416,0.634412813,1.414725297
Zambia,ZMB,41,2017,3.641811163,1.633242708,0.51597175
Zimbabwe,ZWE,127,2017,3.192789119,1.510943466,0.772648271
